Designator,Mid X,Mid Y,Rotation,Layer
C1,-83.35,2.5625,270.0,top
C10,-95.1,27.75,45.0,top
C11,-89.3,26.7,90.0,top
C12,-96.85,22.05,135.0,top
C13,-81.1,23.4,0.0,top
C14,-92.9,19.0,180.0,top
C15,-82.6,15.05,180.0,top
C16,-92.9,17.9,180.0,top
C17,-81.6,16.6,0.0,top
C18,-81.05,18.0,0.0,top
C2,-99.55,5.6,90.0,top
C3,-97.1,8.5,180.0,top
C4,-81.05,0.9,180.0,top
C5,-81.55,12.35,180.0,top
C6,-81.55,9.7125,180.0,top
C7,-85.2,11.85,0.0,top
C8,-85.2,10.6,0.0,top
C9,-90.65,27.25,90.0,top
D1,-93.0,5.775,90.0,top
D2,-78.3,10.0625,270.0,top
D3,-93.1,12.0,90.0,top
D4,-95.05,12.0,90.0,top
J1,-82.4,-1.1,180.0,top
J10,-86.85,1.0,0.0,bottom
J11,-103.35,8.15,270.0,top
J12,-92.45,-1.15,0.0,top
J13,-81.7,27.3,0.0,top
J2,-83.1,11.0,135.0,bottom
J3,-72.675,18.32,90.0,top
J4,-73.35,14.0,90.0,bottom
J5,-83.3,31.15,0.0,top
J6,-86.85,27.25,180.0,bottom
J7,-90.1,31.15,180.0,top
J8,-100.1,14.0,270.0,bottom
J9,-103.2,15.0,90.0,top
L1,-73.4,8.3,90.0,top
R1,-79.25,15.45,270.0,top
R2,-79.3,22.5,270.0,top
R3,-79.85,6.8,90.0,top
R4,-81.7,6.8,270.0,top
R5,-93.85,8.5,0.0,top
R6,-78.25,6.8,90.0,top
R7,-93.1,20.35,0.0,top
R8,-93.1,15.35,90.0,top
R9,-95.05,15.35,90.0,top
U1,-80.4,3.4,0.0,top
U2,-96.55,5.75,180.0,top
U3,-86.85,14.0,45.0,top
U4,-86.95,21.05,90.0,top
Y1,-94.45,24.55,225.0,top
